Consumer complaint narrative,Product_clean
"I bought a XXXX XXXX XXXX with XXXX milies ont it from XXXX XXXX, the car currently has XXXX   miles on it and is listed in the XXXX XXXX XXXX for only XXXX, but yet I'm paying {$400.00} a month for 4 years which will total out to be around XXXX after it's all said and done. The car is in terrible condition. I purchased it in XX/XX/2016, and the transmission failed within the same year and had to be rebuilt. I have had numerous problems since the transmission fix but XXXX claims that the car is fine. I have not been late on a payment in the entire two-year process, I have paid XXXX on the car and still owe another XXXX. I was a fresh XXXX years of age when I purchased the car so i feel like XXXX XXXX really took advantage of my ignorance and I feel that this is way unfair. I have tried to get the car refinance but other lender say that it is a lost cause smd csnt help me. Can someone please HELP ME!",Vehicle loan or lease
"What happenedDescribe what happened so we can understand the issue ... 

Saturday XXXX XXXX, XXXX and major complaint. Previous complaints addressed harassing phone calls. You stated that no more phone calls. I was awaken at XXXX Hawaii Standard Time by a phone call from your representative. Message from Representative XXXX XXXX, to call her at XXXX XXXX. 
Please answer the following questions to include unresponsive answers to previous complaints. 
1-Is this a harassing phone call. Simply answer Yes or No and what is going to be done to stop harassing phone calls. What is the violation and civil penalty if this occurs again? 
2-You all keep changing enterprise representatives on me. Please respond with name of representative to contact by email. Your phone calls are not resolving our issues and my complaints. I previously ask for email address for Representative XXXX XXXX to resolve our issues and complaints. You all have be non-compliant. Please email me his email address. If not, please explain why I can not get his email address to resolve all issues and complaints. 
3-I ask for the mailing address to mail XXXX form to receive {$500.00} signing incentive for partial claim. Please respond with mailing address to include attention what department. 
What if any is the money incentive to re-sign modification documents? Yes or No. If so how much? 
4-You responded that I am not required to re-sign loan modification documents. You also stated that my modification terms will still remain in effect. You further stated by not re-signing loan modification, it may cause difficulties in the future if I attempt to modify, refinance or the sell the property. 
Please be specific, not general terms as stated above, what difficulties I am going to encounter if I attempt to modify, refinance or sell the property. Please explain fully. 
5-You mentioned previously about recordation of modification. My questions to this still have not been answered. Where is modification recorded at. Name of agency where recordation is being done. Exactly what is being recorded? Who is doing recordation? Phone number to call to check on recordation. 
6-If you all address and answer my questions and concerns, then we can finally resolve all issues. It is up to you all to finally resolve all issues. Simply answer my questions and concernsThank you-XXXX XXXX to publish the description of what happened? Consent provided",Mortgage
"On XXXX 2014 my SS was stolen & used, and my Computer was acked : finally 2 years later they have taken out a lot but there are still error I am XXXX years old. my car was in the shop for repairs XXXX I need it for going to the grocery & Dr. appointment plus I had in 2014 XXXX & XXXX must see the XXXX XXXX XXXX time each years, My S S is very modest, please help me Thank you XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX Fl. XXXX XXXX tel. XXXX",Credit reporting
"I have requested my credit report from all XXXX agencies. The first time, I tried to do it online and I experienced computer errors, the 2nd time, I called in and followed the pronts. I only got XXXX of the XXXX and when I asked Transunion again, they said they alreadyeady sent me a report. I do not have a report from Transunion and I advised them of that and they still have not sent me my free annual credit report.",Credit reporting
"CHEXSYSTEMS QUOTES RULES AND THIER PURPOSE WHICH I HAVE NO OBLIGATION TO PERFORM, CHEXXXXX OPERATES ON A PRESUMPTION, I DONT HAVE ANY CONTRACT WITH THESE DECEPTIVE MISCREANTS, CHEXSYSTEMS COMMITS 2ND DEGREE FELONY BY USING MY PERSONAL INFORMATION WITHOUT MY CONSENT, ALSO RECENTLY I WENT INTO XXXX XXXX XXXX AND WAS REFUSED TO OPEN A CHECKING ACCOUNT BECAUSE OF CHEXSYSTEMS WITH THIER SECRETS MAKING FALSE REPORTS ON ME WITH NO TANGIBLE EVIDENCE TO ANYTHING, AND IM XXXX SICK AND TIRED OF THESE XXXX CRIMINALS, THEY SEND ME PAPERS ASKING FOR MY PERSONAL INFORMATION WHICH IS NONE OF THIER XXXX BISNESS, THEY HAVE BEEN MAKING BAD REPORTS ON ME FOR YEARS NOW AND GETTING AWAY WITH MASSIVE FELONY FRAUD, THEY WILL NOT SEND ME THIER REPORT THAT THEY ARE USING AND KEEP IT A SECRET, I WILL NOT CALL XXXX XXXX XXXX AND GO XXXX XXXX WHILE XXXX XXXX ASK ME FOR A BIRTHDAY, I DONT HAVE ANY CONTRACT WITH THESE XXXX AND THEY ARE MISCREANTS",Credit reporting
I am a XXXX in Indiana. My client is getting a loan through USAA Bank. He is a veteran. This loan has been dragging on for close to 50 days. Now they need to extend the rate lock but want to charge my client {$9800.00}. It can not be rolled into the loan so it must come out of his pocket. They have not been expedient with this process. What do I do to protect my client????,Mortgage
"AS of XX/XX/2017, I am two weeks late on closing on my short sale because my mortgage company will not approve allowable charges under the terms of the loan. They are claiming HUD wont approve but my attorney has gotten written documentation on the HUD approval for the charges. Roundpoint has been retaliating against the me because I have been sending complaints up the chain because of their POOR practices and work processes. They have held up my short sale or months. These delays are constant RETALIATION and should be against the law.",Mortgage
"First Data Global Leasing/corporation did nothing but deceive from the XXXX meeting with company representative XXXX XXXX, promising a non existent manual processing machine ( "" XXXX '' ) for a trade show promotion, to no initial fees which were taken from my business account 5 days later, an automatic signup for "" XXXX '' coverage that I specifically and quite clearly declined and all on a binding contract that was never signed. Repeated phone calls were never returned by the F.D.G.L. representative, XXXX XXXX, to address these issues. But when I went to XXXX, the point of vender contact, a call to his phone was answered immediately when placed by the branch manager. How can this possibly be legal? They NEVER batched out a single transaction, because we NEVER used, connected the terminal or processed a single card with the terminal. When I finally made contact with a F.D.G.L. agent, I was informed that XXXX XXXX no longer worked for the company and my contract is legal and binding. I agreed to a 3 year lease for the processing and the agent extended the terminal lease to 4 years. Now that the contract for the processing is over, they want {$600.00} for early cancellation of the terminal lease, plus the money for XXXX which I clearly stated I did not want nor need. I HAVE INSURANCE. How can this be legal? HELP ME PLEASE. Sign me up for any class action OR any action that can be taken. I have all of my records ; contract, bank withdraws, contact info etc. and will forward as requested.",Bank / Checking / Savings
"Originally I had asked them to remove the charge off wording on my credit report and they say they ca n't but what I do n't understand is why they submitted the same charge-off again on my credit report when I paid them off now they have it being charged off again on  XXXX   XXXX ,  XXXX  originally they charged it off on  XXXX   XXXX ,  XXXX . I do n't understand why they submitted it again preventing me not to be able to get a refinance of my mortgage.",Credit reporting
"I tried to close my checking acct with Santander in XXXX 2015. Unfortunately there was an ACH transaction that went thru a few weeks later from an acct I did n't realize was still active. Santander paid the request & charged a {$35.00} fee. I called the main XXXX # & was told that there was nothing they could do about the fact that even though the acct was "" closed '' an item was presented so the fee was valid. I deposited the money for the transaction into that acct & spoke with the bank mgr about the fee which she agreed to waive. I asked why they could n't just fully close the acct & make sure no payments are made against it & was told, "" that was not possible '' but to "" watch '' the acct & usually after a few months of no activity the acct will "" convert '' to a closed acct. Well it 's now 10 months later & unfortunately XXXX checks inadvertently written from an old checkbook that had those accounts checks still in it were presented for payment, Santander paid them & charged {$70.00} in fees. I deposited money to cover the checks & asked the manager to waive the fee. She said "" they did n't do anything wrong & the fee is valid ''. While I realize the checks were written & presented I ca n't fathom why after all this time & a request to close the acct they are still paying items presented to them & thereby able to charge me a fee. If the acct had been closed as I requested multiple times & then Santander denied payment, especially after 10 months, I would understand. I would be responsible to the parties to make good on the checks & any returned check fee they were charged. That makes sense. But instead they wo n't close the acct & will continue to pay items presented. I have no way of knowing if this acct will actually ever be closed. It is 2015, I do n't understand why they can not put a check flag in some data field & close this acct. I resent having to pay them a fee because they ca n't make this simple thing happen. Do I have any recourse or am I resigned to paying the fees forever?",Bank / Checking / Savings
